# Glossary in tab-separated format -*- coding: utf-8 -*-
pearóid-duine	parrot-man
aeraíocht	outdoor entertainment.
aerasól	aerosol.
aerbhrat	atmosphere.
aerfhórsa	air force.
aerlíne	airline.
aerloingseoireacht	aeronautics.
aermaíocht	(noun) the act of seeking pleasure; (noun) a term for pleasure-seekers.
aeróg	aerial.
aeróstach	airhostess.
aerphost	airmail.
agaill	earthworm.
agall	exclamation.
agnóisí	agnostic.
agra	lawsuit.
agús	addition.
aibhéis	abyss.
aibhinne	avenue.
aibreog	apricot.
aiceann	accent
Aidbhint	Advent.
aidiúnach	adjutant.
aidréanailín	adrenalin.
aife	ebb.
aifid	aphid.
aigneolaíocht	psychology.
ailbheolas	alveolus.
ailceimic	alchemy.
ailgéabar	algebra.
ailibí	alibi.
ailigéadar	alligator.
ailím	alum.
ailiúnas	alimony.
áilleagán	toy	 doll.
ailléirge	allergy.
áilteoir	trickster.
áilteoireacht	tricking.
aimiréal	admiral.
aimiréalacht	admiralty.
aimitis	amethyst.
aimléis	misery.
aimnéise	amnesia.
aimplitheoir	amplifier.
aimride	barrenness	 sterility.
aimsitheoir	marksman.
ainbhios	ignorance.
ainbhiosán	ignoramus.
ainchleachtadh	inexperience.
ainchreideamh	unbelief.
ainchreidmheach	infidel.
aincis	malignancy.
aindiachaí	atheist.
aindiachas	atheism.
aindleathacht	illegality
aindlí	lawlessness.
ainéistéiseach	anesthetic.
ainimh	blemish.
ainís	anise.
ainle	peevish person.
ainmheasarthacht	excess.
ainmhian	passion	 lust.
ainmníocht	nomenclature.
ainmnitheach	nominee.
ainriail	anarchy.
ainrialaí	anarchist.
ainriocht	wretchedness.
ainsprid	evil spirit.
aintiarna	despot.
aintiún	anthem.
aipindic	appendix.
aipindicíteas	appendicitis.
aireagal	oratory	 ward.
aireagán	invention.
áireamhán	calculator.
áirge	asset.
airgeadaí	financier.
airgeadóir	Cashier; teller (in bank)
áiria	aria.
airleacan	advance	 loan.
airnéis	chattels	 cattle.
airtléire	artillery.
airtríteas	arthritis.
aischothú	feedback.
aiseag	restoration.
aiseal	axle.
aiséiteach	ascetic.
áisiúlacht	convenience.
aiteacht	oddness.
aiteal	juniper.
áith	kiln.
aitheascal	oracle.
aithinne	spark.
aithis	slur.
aithríoch	penitent.
aithriseoireacht	mimicry.
amhastrach	barking
amp	amp
anchuid	excessive amount
aoine	fasting
aosán	evil fairy
Árainn	Aran Islands
ateangaire	interpreter
báicéir	baker
báidín	dinghy
báinseach	lawn
bairín	loaf
Ballstát	Member States
banchéile	wife
barriall		 f. (gs. -rréille	 pl. ~acha). Bootlace	 shoe-lace.
bealtaine	May
bruas	lip
cábóg	rustic
cág	jackdaw
ceimiceoir	chemist
céimseata	geometry
cinsire	censor
claicearnach	(Act of) clacking.
claidhreacht	"1. villainy	 roguery
2. cowardice"
claimhe	1. Manginess	 scurvy. 2. Plague	 pest. 
claimhteoir	swordsman
cláirseoir	harpist
cleasaí	trickster
cluife	game	 match
cneá	wound
daingne	strength	 security	 firmness	 solidity
daol	beetle
deabhaidh	Strife	 contention; fight.
deachú	tithe
dísle	dice
doichte	Tightness	 hardness	 rigidity	 rigour.
drochaimsir	bad weather
duáilce	1. Vice; fault	 defect. 2. Joylessness	 unhappiness
duga	dock
éalang		 f. (gs. -ainge	 npl. ~a	 gpl. ~). Flaw	 defect; weakness	 weak spot. ~ ar rud	 a flaw in sth. ~ nó easpa	 flaw or defect. Bean gan ~	 flawless woman. D’fhág an aicíd ~ air	 the disease debilitated him. ~ a fháil ar dhuine	 to find the weak spot in s.o.; to take s.o. at an unguarded moment	 at a disadvantage. ~ mheabhrach	 mental deficiency. (Var:éalann f)
fadáil	 f. (gs. -ála). (Act of) delaying	 lingering; dilatoriness.
faocha	limpet
feadhain		 f. (gs. & pl. -dhna). Band	 troop	 company. ~ fear	 band of men. ~ marcach	 troop of horsemen. Bheith ar an bh~	 to be one of the band. Níl aon fhear ar an bh~ inchurtha leis	 he is the best of the lot. Ceann feadhna	 leader	 commander; ringleader. Bhí sé ina cheann feadhna ar na hÓglaigh	 he was a leader of the Volunteers. An ceann feadhna ar na gasúir	 the ringleader of the boys. (Var:feadhan m & f)
feag	fig
feitheoir	supervisor
fillteán	folder
flóra	flora
fochupán	saucer
follasú		 m. (gs. -saithe).Jur: Discovery. ~ cáipéisí	 discovery of documents.
forainm	pronoun
foscadán	(of structure) shelter
Frainc	France
fútráil	act of fidgeting; bungling
Gael	Gael
Gaeltacht	Gaeltacht
gealtlann	asylum
geasróg	geas (spell)
goilliúnacht	Sensitiveness	 sensitivity; touchiness.
gráinne	grain
iargúil	1	 f. (gs. -úlach	 pl. -úlacha). Remote corner; backward	 out-of-the-way	 place; isolated	 solitary	 place. Dul ar an ~	 to retire to a remote place	 to seek solitude. Tá siad ina gcónaí ar an ~	 they live at the back of beyond.
iargúltacht	remoteness
inneoin	anvil
lámhainn	glove
lasán	match
leamstar	Thick slice	 hunk.
leiceann	cheek
leictreoir	electrician
liobar	1. Loose	 hanging	 thing; limp object.
lóistéir	lodger
longfort	encampment
luibheolaí	botanist
marfóir	murderer
matamaiticeoir	mathematician
measúnóir	assessor
meatachán	coward
meicneoir	mechanic
meitheamh	June
míghníomh	1. evil deed	 misdeed. 2. (jurisprudence) misfeasance
mírialtacht	irregularity
muilleoir	miller
neamhrialtacht	irregularity
oitir	spit of land
ollúnacht	professorship
pána	pane
pancóg	Pancake.
profa	prop
proinn	meal
ráca	rake
rámhaíocht	rowing
ranníocóir	contributor (to pension fund	 health care plan etc)
rannpháirtí	participant (noun)
réalteolaíocht	astronomy
rím	rhyme
ronnach	mackerel
sampláil	(noun) the act of sampling; 
scothóg		 f. (gs. -óige	 npl. ~a	 gpl. ~).1. (a) Flower	 blossom. (b) (Little) tuft. (c)Hort: Top. 2. Tassel. ~a seáil	 tasselled fringe of shawl.
seanaimsir	olden times
seancheann		 m. (gs. -chinn).1. Old one. 2. Old head. Tá ~ air	 (of child) he is precocious; he is too old-fashioned.
seanduine	old person
siúlóir	walker
snámhóir	swimmer
soineann	"1. Calmness	 clemency (of weather); fair weather.
2. Calmness	 serenity (of expression); pleasantness	 guilelessness."
spadaire		 m. (gs. ~	 pl. -rí). Sluggish	 lethargic	 person. (Var:spadaí2m)
spreasán	1. (Small) twig; stick (of firewood). 2. Worthless person.
sprionlóir	miser
strainc	grimace; contortion of the face
táibléad	tablet
taisceadán	treasure
taiscéalaíocht	(Act of) exploring	 reconnoitring; exploration	 reconnaissance.
teicneolaí	technologist
tionsclaí	industrialist
tosaitheoir	beginner
tréadaí	herder
treoirlíne	guideline
trilseán	1. Tress; braid	 plait. 2. (a) Plaited rushlight. (b) Link	 torch. 3. String	 long bunch.
uachtarlann	creamery
vaimpír	(1) Myth: Vampire; (2) Z: Vampire(-bat)
vótaíocht	(1) act of polling; (2) poll
asarlaí	1. Sorcerer. 2. Conjurer	 trickster. 3 = astralaí.
rabhchán	warning signal
scoilt	1. fissure	 crack. 2. parting. 3. breach of relations
múisc		 f. (gs. ~e). Vomit; nausea	 loathing. Chuirfeadh sé ~ ort	 it would sicken you. (Var:múis3f)
I mball éigin  "	"[not sure if this is as adv. or pronoun] 
somewhere."

i ndán (do)  "	fated, in store (for).
 ceann scríbe  	finishing-point; destination, goal. 
 go háirithe má  	especially if.
 i bhfad eile  	much longer
 I dteannta  	along with, in addition to. 
 san áireamh  	in consideration
 um an dtaca seo  	about this time, by now
’chuile bhliain  	every year
[X] agus corradh  	more than X
{bí} i gceist [le-X]  	"entails; intended, meant
involved; required
a chéile  	each other
a chlog  	o'clock
a chóir  	near
a chois  	beside
a dhíth (ar)  	needed (by)
a lán  	a lot	 much
a leithéid  	the like	 the likes
a thuilleadh  	"more
(in negative context) any more; any longer"
ach an oiread  	either
ach beag  	almost
ach cheana  	but anyhow
ach go háirithe  	anyway	 at any rate.
ach oiread  	either; no more than
aᴱ	all that (there is)
aeans dá laghad  	slim chance (typically used ironically/sarcastically)
ag an bpointe sin  	at that point.
ag brath (ar)  	depending (on)
ag seo cheana  	moreover
ag staid éigin  	at some point
agus cheana  	and furthermore
áirithe	certain; some
áit éigin  	somewhere
amach anseo  	from now on
amárach  	tomorrow
amhlaidh  	(adv) thus	 so
an bhliain seo chugainn  	next year
an chéad lá eile  	the next day
an chuid is mó	most
an lá cheana  	the other day
an méid a	that which
an mhí seo caite  	last month
an oiread céanna  	the same amount; as much
an rud a	that which
an rud is tábhachtaí  	the most important thing
an t-am ar fad  	all the time
an t-am sin  	at that time
an taca seo den bhliain  	at this time of year.  
an tseachtain seo caite  	last week
an tseachtain seo chugainn  	next week
an/na + [TimeNoun] + seo caite  	previous [TimeNoun]
an/na + [TimeNoun] + seo chugainn  	next [TimeNoun]
anocht  	tonight
anois  	now
anois is arís  	now and again
anú [TimeNoun]  	"the [PastTimeNoun] before last;
the [FutureTimeNoun] after next"
anuas ar  	down upon.
anuraidh  	last year ("uh-nur-ee" / "uh-nur-ig" / "uh-nur-uh")
aon duine	anyone	 anybody
aon nduine	anyone	 anybody
aon ní  	anything; nothing
aon rud	anything
ar [X] ar leith  	on a particular X
ar a bharr sin  	on top of that; in addition to that
ar a bheag  	at least
ar a laghad  	at least
ar a shon  	notwithstanding	 even though.  
ar a shon sin  	even so	 nevertheless. 
ar a shon sin is uile  	notwithstanding all that.
ar a son féin  	for herself
ar aghaidh  	ahead	 forward	 on
ar ais ar ball  	back in a while
ar amharc  	in sight
ar an ábhar seo  	because of this; for this reason
ar an ábhar sin  	because of that; for that reason
ar an aimsir seo  	nowadays
ar an bpointe  	right now	 immediately
ar an bpointe boise  	immediately
ar an drochuair  	unfortunately
ar an gcéad amharc  	at first sight
ar an gcúis sin  	for that reason
ar an iomlán  	on the whole; in general
ar aoi  	in regard to	 on account of
ar aon bhealach  	at any rate
ar aon ní eile  	of anything else
ar aon nos  	anyway
ar ball  	later; a while ago
ar bhealach  	in a way
ar bhealach
  "	in a way
ar bhealach éigin  	somehow
ar bhealach nua  	in a new, original, way
ar bith  	at all
ar bun  	afoot (going on)
ar chor ar bith  	at all
ar chúl  	behind; underneath
ar cois  	afoot (going on)
ar cúl  	in the back
ar deighilt  	in a separate place, separate.
ar deireadh  	finally
ar dtús  	first; firstly; at first
ar éigean  	4. (In adverbial phrase) Ar éigean, hardly, barely, with difficulty.
ar fad  	altogether
ar fáil  	available
ar fáil i rith ama  	 available all the time; available continuously
ar feadh  	"for (the duration of)
during, as far as, while, all the, for
ar feadh i bhfad  	for a long time
ar fud  	about	 across	 around
ar fud na háite  	all over the place
ar gach uile bhealach  	in every way.
ar gcúl  	behind
ar lár  	on the ground; down low
ar leanúint  	(to be) continued
ar leith  	 apart	 separate; several	 distinct; remarkable	 special.
ar lorg  	after	 looking for	 on the trail of
ar maidin  	in the morning
ar mo chuireadh  	at my invitation.
ar na mallaibh  	recently; lately
ar na saolta seo  	nowadays
ar ndóigh  	of course
ar nós  	in the manner (of)	 like.
ar nós cuma [le-X]  	as if X doesn't care; as if it's all the same to X
ar nós na gaoithe  	like the wind (very fast)
ar nós na tine  	like fire (very quickly)
ar scoil  	at school
ar shiúl  	away
ar siúl  	"afoot (going on)
afoot (on foot)
on"
ar tí  	about to; on the verge of (lit. on (the) track (of) ) + [IVNS]
ar togradh  	at will.
arae  	for	 because	 however
araon  	both
aréir  	last night
arís  	again
arís agus arís eile  	again and again
arís eile  	once again
arís is arís eile  	again and again
arᴸ	all that (there was)
arú amárach  	the day after tomorrow
as amharc  	out of sight
as an áireamh  	excluded; out of consideration
as measc  	from the midst of	 from among.
as taithí  	out of practice
b'éigean  	it was necessary
B'fhada ó  	it has been a long time since)
B’fhéidir go dtiocfaidh siad ar ball.  	Maybe they will come later.
b'in an méid    	(ba sin / ba in) that was all
beagán	few	 little
beagnach i gcónaí  	almost always
bean	
bliain is an taca seo  	this time last year.  
bliain ó shin  	a year ago
breis agus  	more than
cá bhfios dom?  	 (how do I know?)
ceachtar	"""ceachtar	 pron. 1. Either	 one or other of two; (with neg.) neither. 
ceachtar den bheirt	 den dá rud	 either of the two (persons)	 of the two things. ""
Déanfaidh ceachtar acu cúis	 either of them will do. (lit. will-do either at-them a-case)
Níor labhair ceachtar againn	 neither of us spoke. 
Ní chreidim ceachtar agaibh	 I don’t believe either of you. "
cheana  	previously	 before; already
cheana féin  	before a particular time (qv. "cheana")
choíche  	(adv) ever	 forever; (with neg.) never
chomh  	[+ adj] = "so"
chomh + [adj]  	as [ADJ] * see page on Comparative structures
chomh beag  	as little
chomh fada agus  	as long as
chomh luath is + [DRC]  	as soon as
chomh maith  	as well
chomh mór  	as much
chuige sin  	to that end (lit. for that)
chun cinn  	forward
chun deiridh  	"finally; to the end
at the back
behindhand"
chun tosaigh  	foreward; to the front
chúns + [DRC]  	while
cibé  	"anyway
1. whoever
2. [as indefinite pronoun]  whatever	 whichever
3.(a) (With ar bith	 cé) cibé ar bith é féin; cibé cé	 cibé ar bith cé	 hé féin	 whosoever he may be. cibé ar bith duine a bhí ann	 whatever person was there. cibé ar bith cén fáth a bhí aige leis	 whatever reason he had for it. cibé ar bith	 at any rate. cibé ar bith eile	 whatever else. 
(b) (With cá) cibé ar bith cá bhfuil sé	 wherever he is.
4. cibé acu (whether)"
cibé + [noun] + [DRC]	
cibé + ar bith	
cibé + ar bith + [DRC]	
cibé acú  	whether
cibé áit  	wherever; wherever (that may be)
cibé rud ar bith	
cóir máireach  		 right or wrong	 at all costs.
corradh le
corradh agus
corradh ar  "	more than.
corruair  	occasionally, Sometimes
cosúil leis seo  	like this
cuid	some, part
cuid mhaith  	a good part; quite a few
cuid mhaith de seo  	a good deal of this
cuir i gcás  	take for example
cur ar bun  	set up
d'áirithe  	allotted, certain, reserved
d'aon ghnó    	of set purpose; on purpose; deliberately
d'aon oghaim    	of set purpose; on purpose; deliberately
d'aon toisc    	of set purpose; on purpose; deliberately
d'aon turas    	of set purpose; on purpose; deliberately
d'fhios    	 to seek, to inquire about
d'fhormhór    	for the most part.
`  	therefore
dá dheasca sin  	therefore; in consequence of that.
dá fhad  	however long
dá sórt  	of its kind; like that
dála an scéil  	by the way; in the course of the story
dar [le-X]  	according to X
dár gcionn  	ahead
de bharr  	due to
de bharr (go)  	as a result of, because of.
de bharr [ar-X]  	more than X; over and above X
de bhrí  	because
de bhrí go  	whereas; because, by reason of the fact
de chogar  	in a whisper; in a mutter
de chuid  	belonging to
de dheasca  	in consequence of.
de gheit  	at a bound, suddenly; with a start
de ghnáth  	usually
de réir  	in accordance with, according to.
de réir cuma  	apparently.
de réir dealraimh  	apparently (≈ according to appearance)
de réir mar  	according to; as far as (lit. from wish as); as (indicating simultaneous action or development)
de roinnt  	of several
de thairbhe  	as a result of
de thapaigean  	suddenly, abruptly. 
dealraíonn sé go  	it appears that
den chéad scríob  	at the first attempt
do dhuine	"your man"; the person we're talking about; one
do leataobh  	to one side
do leith  	on the side of; in the direction of
don chuid is mó  	for the most part
duine	
duine ar bith	no one, nobody
duine éigin	someone, somebody
éinne	[M] anyone
fá choinne  	for; for the sake of
fadbh ar bith  	no problem
fadó  	long ago
fadó riamh  	ever so long ago.
fán ionnas sin  	 in that manner
faoi cheann  	at the end of, after
faoi choinne  	for; for that purpose
faoi deara  	notice
faoi dheireadh  	at last; finally
faoi láthair  	currently
faoi leith  	 apart, separate; several, distinct; remarkable, special.
faoi mar ≡  	as if
faoi réir  	free, available; ready
faoin am seo  	by this time
faoin rud sin  	regarding that (matter)
faoin taca seo  	about this time, by now
faoin taca seo amárach  	by this time tomorrow.  
faraor  	(but) unfortunately
fear	fear + de + na + [plural noun (men)] = one of the [nouns]
feasta  	"(adv) from now on, henceforth
 (with neg.) no more, not any more.
feasta choíche  	for all future time	 evermore; from now on
fós  	still	 yet
fosta  	as well; also.
gach	Everything
gach aᴱ	everything that
gach aon rud	every single thing
gach arᴸ	everything that
gach duine	everyone	 everybody
gach lá  	every day
gach ní  	everything (every + thing)
gach rud	everything
gach uile dhuine	every single person
gairid  	3. (As adv.)(a)Is gairid (go)	 it won’t be long (until). Is gairid ó bhí sé anseo	 it is not long since he was here. Ba ghairid ina dhiaidh sin (go)	 it was not long after that (until). Is gairid uait é	 you won’t have long to wait for it. Is gairid uainn an lá (nuair)	 the day is not far distant (when). (b)Is gairid a mhair sé	 he didn’t live long; it didn’t last long. Is gairid a rachadh sé ort; ba ghairid le dul ort é	 it wouldn’t last you long. Bheith rite gairid i rud	 to have run short of sth. Rugadh gairid air	 he was caught unawares. Nár bheire Dia gairid orainn	 may God not find us unprepared. (c)Bheith gairid d’áit	 to be close to a place. Tá sé gairid dá fhearg	 he is easily angered. gairid do mhíle	 nearly a mile. Is fada gairid a shiúil mé ar a lorg	 I travelled far and near in search of it. Chuaigh sé gairid go maith dó	 he went very near it; it was a very close thing for him. Go gairid	 in the near future.
gan choinne  	unexpectedly
gan iarracht  	without trying
gan trácht [ar-X]  	"to say nothing of	 apart from.
not to mention X;  "
gar do  	near to; close to
gearr  	"3. (As adv.)
Is gearr (ó)	 it is not long (since). 
Is gearr (go)	 it won’t be long (until). 
Is gearr ó bhí sé anseo	 he was here a short time ago. 
Ba ghearr leis go dtiocfadh an oíche	 he thought the night would come too soon. 
Is gearr a rachaidh sé orainn	 it won’t last us long. 
Is gearr le dul aige	 he hasn’t long to go. 
Is gearr eatarthu agat	 you change your mind quickly about things. 
Is gearr uainn anois é; is giorra uainn ná ar tháinig	 it won’t be long now. 
Is gearr eile a mhairfidh siad	 they won’t last much longer. "
glan  	4. (As adv.)(a)Millte	 scriosta	 glan	 completely spoiled	 destroyed. Sé troithe glan	 six feet exactly	 fully six feet. Punt glan	 one pound net. Diúltú glan do rud	 to refuse sth. absolutely. Ná maraigh glan é	 don’t kill him outright. Rinne mé dearmad glan de	 I clean forgot it. Tá sé glan as a mheabhair	 he has gone clean out of his mind. D’aon ghnó glan	 entirely on purpose. (b)Bheith glan ar	 de	 rud	 to be clear of sth. Fan glan air	 stay clear of it. D’fhan sé glan díobh	 orthu	 he kept away from them. (c)(Forpp.)Tá an tóir glan uainn	 the chase has cleared away from us. Bhí siad glan uaim abhaile	 they had cleared off home and left me. Tá mé glan acu	 they have fleeced me. (d)glandíreach	 clean and straight. Seasamh go glan díreach	 to stand up straight. Dul glan díreach (go)	 to go straight away (to). Go díreach glan; go cinnte glan	 exactly. (Críochnaithe) glan amach	 (finished) outright.
go bás  	till death
go bhfios dom  	(to my knowledge)
go brách  	forever	 for ever
go ceann  	"1. To the top of. 2. To the end of. 3. For the duration of.
until"
go ceisteach  	questioningly; interrogatively
go ciúin  	quietly
go cúramach  	carefully
go deireadh na scríbe  	all the way; to the very end	 till death
go deireanach  	late
go deo  	for ever	 always
go dian  	hard	 intensely
go díreach  	directly	 straight	 exactly
go dóchasach  	confidently; optimistically
go dtí seo  	until now; until this; so far
go dtí siúd  	up to then.
go fíorannamh  	hardly ever
go fiú  	even; at all
go fóill  	yet	 still
go garbh  	roughly
go garid  	soon
go gléasta  	in style
go haicearrach  	briefly
go haicearrach ina dhiaidh sin  	shortly afterwards.
go háirithe  	especially
go hannamh  	rarely
go hard  	high
go hiomlán  	completely
go hiondúil  	usually
go hiontach  	wonderfully
go lách  	politely	 nicely
go léir  	(of people) all
go leor  	enough	 plenty
go luath  	early	 soon
go maith  	well
go minic  	often
go moch  	early
go mór ná sin  	much more than that
go pointe  	(up) to a point
go pointe áirithe  	to a certain extent
go sciobtha  	quickly
go tapaidh  	quickly
go tobann  	suddenly
go trom  	heavily
i [ ] ionad  	in [ ]'s stead; in [  ]'s place
i bhfad barraíocht  	much too much
i bhfeidhm  	in operation; in effect; impact
i bhfolach  	hidden
i bponc  	in trouble
i dtaca [le-X]  	as regards X
i dtaca an mheán oíche  	close to midnight.  
i dtaca le + [IVNS]  	in connection with
i dtaca le holc  	all things considered.
i dtaca leis sin de  	as to that
i dtaithí  	accustomed to; used to
i dtólamh  	always	 all the time; continuously; still
i dtréimhse  	during
i dtreo is (go)  	so (that); in such a way (that)
i dtroiblóid  	in trouble
i gceann  	1. At the end of.
i gceannas  	in charge
i gceart  	"1. correctly	 properly
2. really	 truly	 actually	 entirely	
i gclár  	in the plane; on the surface
i gcomhair  	for; intended for; to get
i gcónaí  	always
i gcroílár  	in the heart of; in the center of
i gcuideachta  	in the company of
i lár  	at the center; in the middle
i láthair  	present
i leith (le)  	in regards (to)
i mbaol  	at risk; in jeopardy; vulnerable
i mbun  	"1. in the midst of, in the process of
- during
2. in charge of
i measc  	in the midst of	 among.
i ndáiríre  	really
I ndeireadh na mbeart  	finally
i ndeireadh na scríbe  	in the end	 finally.
i neart  	in many; in a lot of
i ngaiste  	in a trap	 trapped
i ngan  	without
i ngleic + [[le-X]]  	in struggle	 in combat; in approaching X
i réim  	in the period (of); during
i rith  	in all (of); ≈during the run of; during
i roinnt  	in some
in aghaidh  	against; `during
in aice [le-X]  	beside X
in aice láimhe  	nearby; near at hand
in aice le  	beside; next to
in ainm  	"- on behalf of
- nominally; supposedly"
in airde  	up
in áirithe  	allotted	 certain	 reserved
in aisce  	for nothing	 gratis
in áit  	instead of (lit. in place of)
in aithne  	into acquaintance
in am ar bith  	ever; never
in amharc súl  	in appearance
in ann  	able
in éineacht  	at the same time	 at once; together	 altogether. 
in inmhe  	"Dul in inmhe	 to prosper.
Teacht in inmhe	 to grow strong	 mature."
in uachtar  	in dominance; is dominant
inné  	yesterday
iomlán	full	 whole	 complete
ionas (go)  	so (that); in order (that)
iontach  	(Intensifying	 with adjective)
iontas  	surprise	 wonder
is beag [NEG]  	almost
Is dócha go mbeidh siad anseo.  	‘They’ll probably be here.’
is fíorannamh  	very little
is gearr go  	soon
laistigh de  	in less time than; ≈ within
láithreach  	immediately
láithreach bonn  	immediately
lasmuigh  	"1. On the outside	 without	 outdoors.
2. apart"
lasmuigh de  	2. Apart from
le cleachtadh  	with practice
le déanaí  	recently; lately
le gairid  	shortly; recently
le go  	? so that ...
le haghaidh  	"against	 for	 towards
for	 in provision for"
le háireamh  	extra	 over
le hamharc (an) lae  	at dawn
le linn  	"1. in the course of; during
2. because of"
le tamall  	for a while
le teacht i dtaithí  	to get used to
lena n-áiríodh  	including
mar an gcéanna  	likewise
mar gheall ar  	because of
mar i ndáiríre  	in fact; because really
mar is ceart  	as is right; properly
mar is cóir  	properly
mar is mion agus is minic  	as is often the case with small matters
mar nós  	as usual
mar sin féin  	however
méid ar leith  	a certain amount
mórán	(neg. and interr.) many	 much
mórthimpeall  	(As prep. & adv.) Surrounding	 all round.
murab é go	if it were not the case that; if not for the fact that
ná a mhalairt  	nor vice versa
neach	"(pronoun)
neach ar bith	 any one	 no one. 
Gach aon neach	 everyone.
aon neach = anyone"
ní ba mhó  	thenceforth
ní hamáin le  	not only with; not only to
ní mar  	not as
ní mar (sin) a/is + [C]  	not like that	 that ...
ní móide go  	probably not	 hardly
ní mór [[do-X]]  	it is necessary (for X)
níos lú  	less
níos mó  	more
nó (go/nach)  	until (... not)
nóiméad ó shin  	a moment ago
nuair + [DRC]  	when
ó am go ham  	from time to time
ó shin  	ago
ó thaobh  	"1. from X side
2. in terms of"
oíche Shamhna  	Halloween night
óir  	[conj] because; for
os ard  	aloud
os coinne  	in front of	 opposite. 
os íseal  	softly	 quietly
pé	
pé + [noun] + [DRC]	
pé + ar bith	
pé áit a bhfuil sí	[wherever] wherever she is
pé ar bith duine	[as whatever	 whichever] whatever person
pé ar bith rud	[as whatever	 whichever] whatever thing
pé ceann is fearr leat	whichever one you prefer
pé duine	
pé hé féin	
pé rud	
pé rud a dúirt sé	whatever he said
pé scéal é	anyhow (lit. whatever story it)
riamh  	ever
roimh ré  	in advance; ahead of time; beforehand
roinnt  	"(adv) somewhat
(proun) some	 several"
roinnt daoine	some people
roinnt mhaith	quite a few
ruainne  	little bit
rud	a thing
rud a	"(a thing) which
see Echoic Relative clauses in Complementation"
rud ar bith	nothing
rud éigin	something
sa bhaile  	at home
sa chaoi sin  	that way; in that way
sa chathair  	in the city
sa chéad dul síos  	in the first place
sa chistin  	in the kitchen
sa lá atá inniu ann  	nowadays
sa mbaille  	at home
sa seomra  	in the room
san am i láthair  	at the present time
san oifig  	in the office
scaití  	sometimes
seo	here / this
sin	there / that
sin ar fad ráite  	that's all said; ≈ that being said
sin é an rud  	"that is the point" (lit. the thing)
siúd	
siúd is go  	even though.
sol má  	before
sula i bhfad  	before long
tá dealramh air go  	it appears that. (lit: is an appearance on-it that)
tamall  	a while
tamall ó shin  	a while ago
taobh thiar  	behind
tar éis  	after
thairis sin  	moreover	 besides that	 apart from that
thall  	over	 beyond
thall ansin  	over there
thall úd  	over yonder
thar a bheith  	extremely
thar barr ar fad  	excellent; over-the-top good
thar moladh beirte  	literally translates to "beyond the praise of two	 meaning something so bad that even two people wouldn't praise it.
thar n-ais  	ar ais (back; again)
tráthnóna  	in the evening
trí chéile  	together
trína chéile  	mixed up; confused
tús a chur  	to begin
uair sa tseachtain  	once a week
uaireanta  	sometimes
úd	yon, yonder; that
uilig	all, everyone
um an dtaca sin  	about that time
D'aon scríob amháin  	at one go
i léig  	in decline
faoi seach  	(i) in turn; occasionally; respectively; (ii) in confusion
agus araile	et cetera.
mas é go  	whether
go dearfa  	certainly, indeed
go cinnte dearfa  	most assuredly
go deimhin is go dearfa  	really and truly
go deimhin féin  	in very truth
i láthair na huaire  	at the moment
cuid mhór X  	a lot of X
ar chúis éigin  	(adverbial phrase) for some reason
de shaghas éigin  	of some kind
de shíor  	for ever, constantly. 
ag an staid seo  	at this stage
as seo amach  	from now on
as siocair go  	because. 
ar siocair go  	because. 
mar dhea  	supposedly; indeed! as if; forsooth
ar lasadh  	alight
le cloisteáil  	audible; to be heard
i ndeireadh na dála  	when all is said and done.
anonn  	"1. Over, to the other side.
2. advanced, late
faoi mar  	as if; as
i gcoinne  	against
i gcaoi is go  	in such a way that
i bhfad  	distant	 far
i réimsí eile  	in other areas
thar ceann  	excellent
ar an toirt  	on the spot	 immediately
sa deireadh thiar thall  	at long last; in the long run; eventually
ó am go chéile  	from time to time
ar a bhonn  	~ from the base	 on the base
féidir  	
freisin  	(adv) also
diaidh  	(substantive)
diaidh ar ndiaidh  	gradually
diaidh i ndiaidh  	gradually
i ndiaidh ar diaidh  	gradually
as diaidh  	after
 Ach oiread leis sin  	for that matter
áfach  	however
riamh go fóill  	never yet. 
(Var:fá dear	 fé ndear(a)	 fé ndeár) variants of "deara"   	
beagnach  	(adv) almost
gan on  	faultless	 unblemished
i dteannta  	(adv phrase) along with	 in addition to.
i ndéanaí an lae  	late in the day
ar a dhéanaí  	at the latest
go dtí le déanaí  	until lately
ionas go  	so that
ionas nach  	so that ... not
i ngach treo  	in all directions	 everywhere
i ngach aon treo baill  	in all directions	 everywhere
cuir	put
déan	do
tabhair	give; notice; take; bring
abair	say
tar	come
bain	 extract	 cut	 release	 or win. (Extract or dig out. 2. Reap or pick. 3. Open or release. 4. Shed or bring about. 5. Strike or make a sound. 6. Agitate or annoy. 7. Lift or set afloat. 8. Win or gain. 9. Become due.)
téigh	go
téigh	heat	 warm
faigh	get
caith	"A. 1. wear. 2. consume. 3. spend. 
B. 1. throw	 cast. 
C. (Auxiliary verb used mainly in future & conditional to denote obligation	 necessity)"
feic	see
éirigh	"1. rise. 
2. become."
lean	follow
tuig	understand
tarlaigh	[vt] [vi] 1. Haul. Ualach a tharlú	 to haul a load. Bád a tharlú	 to haul	 warp	 a boat. 2. (Of harvest) Bring in	 garner. An fómhar a tharlú	 to gather in the harvest.
tarlaigh	happen	 occur
fág	leave
tóg	take	 build (5b. rouse	 excite)
glac	take	 accept
ceap	"think
3. Appoint	 assign."
féach	[M] look
clois	hear
tosaigh	begin	 start
buail	strike	 hit
beir	carry	 catch
